,,,,,,,
Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
1990,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"3,093,658","13,199,323",0,E
1989,IMP,GROUNDFISH HADDOCK FRESH,ICELAND,"121,629","552,282",0,E
1990,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,NORWAY,"41,231","86,502","1,704",E
1990,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH,ICELAND,"52,549","217,399","2,173",E
1990,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"471,767","1,725,549","19,503",E
1990,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"8,532,091","39,173,316",0,E
1992,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,ICELAND,"439,957","1,662,836",0,E
1992,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,884,"5,730",36,E
1993,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,GERMANY,"78,024","151,971",0,E
1995,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"2,644,194","8,468,614","85,332",E
1994,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"12,547","78,497",513,E
1994,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"460,384","2,205,247","19,034",E
1993,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"199,949","726,744",0,E
1993,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,PORTUGAL,"1,463","6,450",0,E
1994,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"160,181","865,728","6,622",E
1994,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,959,549","9,006,856","81,010",E
1995,IMP,GROUNDFISH POLLOCK NSPF SALTED WHOLE/DRESSED,FRANCE,"11,340","43,877",0,E
1994,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"1,256,484","6,151,693","51,945",E
1994,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"94,010","271,990",0,E
1995,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,041,106","6,432,103","34,317",E
1995,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"213,933","224,412",0,E
1997,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"16,764","56,745",0,E
1997,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,NORWAY,"75,667","187,349","1,286",E
1998,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"5,983,193","14,470,788",0,E
1997,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"4,218,373","20,737,913","70,925",E
1998,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"102,383","859,974",28,E
1998,IMP,GROUNDFISH COD NSPF FILLET FROZEN,DENMARK,"244,978","1,381,350","1,959",E
1998,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"1,528,405","5,274,027","12,230",E
1999,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"357,749","1,533,284",0,E
1996,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,"2,051","9,416",51,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"41,858","330,185",0,E
1999,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"157,731","782,685",0,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"497,505","2,852,495",0,E
1999,IMP,GROUNDFISH POLLOCK ALASKA FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"1,645","3,977",0,E
2001,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"2,471,468","14,836,249",0,E
2000,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"8,014","22,453",0,E
2001,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"35,068","138,872",0,E
2002,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"345,665","2,879,597",0,E
2002,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"8,299","80,456",0,E
2002,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"104,238","1,268,505",0,E
2004,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"245,699","719,848",0,E
2003,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"86,214","385,835",0,E
2006,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"14,270","79,108",0,E
2005,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"505,045","3,746,621",0,E
2006,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH,ICELAND,"9,816","56,780",0,E
