,Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
0,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,335876,2316983,0,E
1,2009,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,220,8184,0,E
2,2009,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,82525,341296,0,E
3,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,1392,7972,0,E
4,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,504,11937,0,E
5,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,102850,801337,0,E
6,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,111367,536263,0,E
7,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,315,3024,0,E
8,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,54244,988050,0,E
9,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,308404,1087840,0,E
10,2009,IMP,GROUNDFISH OCEAN PERCH NSPF FILLET FROZEN,ICELAND,2721,14100,0,E
11,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,892973,6731117,0,E
12,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,71685,573836,0,E
13,2009,IMP,GROUNDFISH COD NSPF FROZEN,UNITED KINGDOM,2342,15954,0,E
14,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,99840,912479,0,E
15,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,41721,207463,0,E
16,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,1346,18608,0,E
17,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,198938,2354680,0,E
18,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET SALTED,ICELAND,116593,621085,0,E
19,2009,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,140851,1290971,0,E
20,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,23710,154202,0,E
21,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,96842,759473,0,E
22,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,67545,1241505,0,E
23,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,48531,307428,0,E
24,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,544,3900,0,E
25,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,15223,163618,0,E
26,2009,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,450,5000,0,E
27,2009,IMP,GROUNDFISH HADDOCK FROZEN,UNITED KINGDOM,17569,51784,0,E
28,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,11900,23800,0,E
29,2009,IMP,"GROUNDFISH CUSK,HADDOCK FILLET SALTED",IRELAND,2032,14157,0,E
30,2009,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,40345,367730,0,E
31,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,967,7358,0,E
32,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,IRELAND,4716,28275,0,E
33,2009,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,4173,11507,0,E
34,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,GERMANY,16983,117096,0,E
35,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,20412,74250,0,E
36,2009,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,2993,10164,0,E
37,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET SALTED,IRELAND,23006,123209,0,E
38,2009,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,984,3910,0,E
39,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,91136,463581,0,E
40,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,1920,19296,0,E
41,2009,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,8520,95475,0,E
42,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,1724,13065,0,E
43,2009,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,1900,24141,0,E
44,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,11225,74546,0,E
45,2009,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,69785,175000,0,E
46,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,105679,447269,0,E
47,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,3111,85204,0,E
48,2009,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,290322,557353,0,E
49,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,8328,109557,0,E
50,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,347102,2594121,0,E
51,2009,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,2068,12956,0,E
52,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,786,17014,0,E
53,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,8177,92652,0,E
54,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,319813,1166438,0,E
55,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,126099,1382203,0,E
56,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,264044,1438039,0,E
57,2009,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,568931,1421873,0,E
58,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,8246,33038,0,E
59,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,1984,18156,0,E
60,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,1453724,8626509,0,E
61,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,4763,22575,0,E
62,2009,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,38750,198861,0,E
63,2009,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,2952,11635,0,E
64,2009,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,104795,209590,0,E
65,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,30535,120646,0,E
66,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,1933972,13545933,0,E
67,2009,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,12228,62180,0,E
68,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,13823,170798,0,E
69,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,1157957,6983183,0,E
70,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,26942,139374,0,E
71,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,42485,593446,0,E
72,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,454,6422,0,E
73,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,181413,886163,0,E
74,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,UNITED KINGDOM,7938,68375,0,E
75,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,118546,574232,0,E
76,2009,IMP,"GROUNDFISH CUSK,HADDOCK FILLET SALTED",ICELAND,8600,57654,0,E
77,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,FRANCE,1198,5657,0,E
78,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,445,10446,0,E
79,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,9978,33118,0,E
80,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,1024,11252,0,E
81,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,SPAIN,2040,23113,0,E
82,2009,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,3802561,8995204,0,E
83,2009,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,180139,390095,0,E
84,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,20865,82340,0,E
85,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,FRANCE,184,2202,0,E
86,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,41877,128791,0,E
87,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,13173,66792,0,E
88,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,1035456,10971904,0,E
89,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,270,6334,0,E
90,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,8216,74340,0,E
91,2009,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,85998,185121,0,E
92,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,8587,31643,0,E
93,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,1450,18660,0,E
94,2009,IMP,GROUNDFISH COD NSPF FROZEN,ICELAND,240,3809,0,E
95,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,88250,1026205,0,E
96,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,16389,123622,0,E
97,2009,IMP,GROUNDFISH POLLOCK ATLANTIC FROZEN,NORWAY,49050,101751,0,E
98,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,98789,531000,0,E
99,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,690966,2932711,0,E
100,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,3755,32494,0,E
101,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,466608,2588254,0,E
102,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,90,2250,0,E
103,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,4153,133000,0,E
104,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,87603,1221075,0,E
105,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,11875,21594,0,E
106,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,26913,91116,0,E
107,2010,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,396964,1777909,0,E
108,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,3150,13542,0,E
109,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,368810,2276138,0,E
110,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,809478,3886648,0,E
111,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,FRANCE,1951,8264,0,E
112,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,17640,288338,0,E
113,2010,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,155879,1524547,0,E
114,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,SPAIN,2655,25364,0,E
115,2010,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,384,2246,0,E
116,2010,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,1868,22250,0,E
117,2010,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,157652,309672,0,E
118,2010,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,8482,33560,0,E
119,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,2235871,16851943,0,E
120,2010,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,92850,185700,0,E
121,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,15326,159602,0,E
122,2010,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,371,8218,0,E
123,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,189156,2263356,0,E
124,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,3227,71131,0,E
125,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,24710,145920,0,E
126,2010,IMP,GROUNDFISH COD NSPF FRESH,FRANCE,428,4254,0,E
127,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,9720,45429,0,E
128,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,14580,105214,0,E
129,2010,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,17559,58861,0,E
130,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,6548,61763,0,E
131,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,14089,58661,0,E
132,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,1089880,8099341,0,E
133,2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,583974,2640583,0,E
134,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,10269,76240,0,E
135,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,680,3525,0,E
136,2010,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,911,7291,0,E
137,2010,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,867993,10184574,0,E
138,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,58723,544135,0,E
139,2010,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,3480,38867,0,E
140,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,841,18755,0,E
141,2010,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,7165,20592,0,E
142,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,3594,41244,0,E
143,2010,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,FRANCE,3240,3386,0,E
144,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,1200,24204,0,E
